,year,word_type,word,word_freq
67,2021,verb,climate,7
11,2021,verb,success,6
27,2021,verb,work,5
35,2021,verb,humanity,5
39,2021,verb,emissions,5
71,2021,verb,parties,5
154,2021,verb,era,5
14,2021,verb,process,4
30,2021,verb,day,4
32,2021,verb,colleagues,4
70,2021,verb,implementation,4
78,2021,verb,nations,4
85,2021,verb,support,4
107,2021,verb,change,4
33,2021,verb,point,3
34,2021,verb,history,3
42,2021,verb,future,3
73,2021,verb,world,3
76,2021,verb,solutions,3
9,2021,verb,years,2
10,2021,verb,efforts,2
12,2021,verb,congratulations,2
17,2021,verb,decisions,2
25,2021,verb,issue,2
26,2021,verb,generation,2
36,2021,verb,choices,2
37,2021,verb,scale,2
38,2021,verb,reductions,2
40,2021,verb,goal,2
44,2021,verb,adaptation,2
48,2021,verb,impacts,2
49,2021,verb,people,2
54,2021,verb,transition,2
64,2021,verb,action,2
77,2021,verb,news,2
92,2021,verb,end,2
100,2021,verb,path,2
105,2021,verb,science,2
110,2021,verb,land,2
111,2021,verb,oceans,2
150,2021,verb,task,2
0,2021,verb,guests,1
1,2021,verb,delegates,1
2,2021,verb,ladies,1
3,2021,verb,gentlemen,1
4,2021,verb,wait,1
5,2021,verb,joy,1
6,2021,verb,enthusiasm,1
7,2021,verb,cop,1
8,2021,verb,leadership,1
13,2021,verb,room,1
15,2021,verb,confusion,1
16,2021,verb,pandemic,1
18,2021,verb,skills,1
19,2021,verb,advantage,1
20,2021,verb,communication,1
21,2021,verb,technologies,1
22,2021,verb,covid-19,1
23,2021,verb,hearts,1
24,2021,verb,way,1
28,2021,verb,heart,1
29,2021,verb,poet,1
31,2021,verb,hour,1
41,2021,verb,warming,1
43,2021,verb,planet,1
45,2021,verb,weather,1
46,2021,verb,disasters,1
47,2021,verb,resilience,1
50,2021,verb,families,1
51,2021,verb,harm,1
52,2021,verb,business,1
53,2021,verb,price,1
55,2021,verb,extinction,1
56,2021,verb,environment,1
57,2021,verb,peace,1
58,2021,verb,stability,1
59,2021,verb,institutions,1
60,2021,verb,wellbeing,1
61,2021,verb,reasons,1
62,2021,verb,progress,1
63,2021,verb,platform,1
65,2021,verb,covenant,1
66,2021,verb,hope,1
68,2021,verb,goals,1
69,2021,verb,potential,1
72,2021,verb,accumulation,1
74,2021,verb,repercussions,1
75,2021,verb,pathway,1
79,2021,verb,ndcs,1
80,2021,verb,ambition,1
81,2021,verb,board,1
82,2021,verb,emitters,1
83,2021,verb,cent,1
84,2021,verb,provision,1
86,2021,verb,cornerstone,1
87,2021,verb,commitment,1
88,2021,verb,delivery,1
89,2021,verb,plan,1
90,2021,verb,week,1
91,2021,verb,start,1
93,2021,verb,detail,1
94,2021,verb,actions,1
95,2021,verb,transformations,1
96,2021,verb,trillions,1
97,2021,verb,respect,1
98,2021,verb,countries,1
99,2021,verb,development,1
101,2021,verb,spirit,1
102,2021,verb,multilateralism,1
